,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
3117,笑傲非凡,2018-10-31,138,0,1.2,MiddleInner,Late,1.0,0,0,0
3118,笑傲非凡,2018-10-13,93,0,1.2,Outer,Pace,2.0,0,0,0
3119,笑傲非凡,2018-07-08,780,0,1.4,Outer,Pace,2.0,0,0,0
3120,笑傲非凡,2018-06-10,715,0,1.4,MiddleOuter,Pace,1.0,0,1,1
3121,笑傲非凡,2018-05-20,659,0,1.4,Outer,Pace,1.0,0,1,1
3122,笑傲非凡,2018-04-18,577,1,1.2,MiddleOuter,MiddleLate,3.0,0,0,0
3123,笑傲非凡,2018-03-14,494,1,1.2,MiddleInner,MiddleLate,1.0,0,0,0
3124,笑傲非凡,2018-02-14,420,1,1.2,MiddleOuter,MiddleLate,3.0,0,1,1
3143,帝勝之星,2018-11-25,203,0,1.4,Inner,Late,5.0,0,0,0
3144,帝勝之星,2018-10-21,110,0,1.6,MiddleInner,MiddleLate,4.0,0,0,0
3145,帝勝之星,2018-10-07,77,0,1.4,Inner,MiddleLate,1.0,0,0,1
3146,帝勝之星,2018-09-12,32,1,1.2,Outer,MiddleLate,2.0,0,0,0
3147,帝勝之星,2018-06-24,746,0,1.4,MiddleOuter,MiddleFront,3.0,0,0,0
3148,帝勝之星,2018-05-27,681,0,1.4,Outer,MiddleFront,3.0,0,1,1
3149,帝勝之星,2018-04-21,590,0,1.4,Outer,Late,1.0,0,0,0
3150,帝勝之星,2018-03-25,522,0,1.4,MiddleInner,MiddleLate,1.0,0,1,1
